ID,Speaker,Description,SpawnItem,SpawnItem2
,오크,아무래도 저는 예뻐질 수 없는거겠죠… 다시 태어나는 것이 아니라면…? ,,
Offer,스켈레톤,난 억울해… 억울하다고…. 이렇게 생기고 싶어서 그런게 아닌데…,,
,스켈레톤,내 모습이 사라져 버렸으면 좋겠어… ,,
,스켈레톤,너는 사람이니까 이 인형에 쓸모가 있게 만들어줘봐…,,
,스켈레톤,천을 덧붙혀서 내가 입을 수만 있게 해줘도 돼.,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,스켈레톤,유령망토! 근데 막상 이걸 받고나니 다시 자신감이 생기는 기분이야. 뭐 어찌됐던 고마워!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,스켈레톤,어차피 내가 이 모양이라서 무서워 하는건 너네들이잖아! 어쩔 수 없는거지 뭐…,,
Offer,여사님,"총각, 내가 외국에서 비싸게 들여온 물약인데, 쓸데가 없더라고.",,
,여사님,깃털이 가득 있는 반짝이는 부채를 만들어 줄 수 있나요?,,
,여사님,새의 털을 뽑을 생각은 하지마! 가짜 깃털도 괜찮으니까..,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,여사님,자네 아버지 처럼 아주 사랑스러운 마법을 다루는 것 같군요… 가게 사장님은 정말 선하고 멋진 사람이었어요.,,
,여사님,꼭 다시 보기를 바라고 있답니다.,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,여사님,"어쩔 수 없죠, 원래 사용 할 수 없다면 버릴 예정이었으니… 그래도 좋은 경험이 되었기를 바래요~",,
Offer,피피,"나 사실, 내가 달고 있던 방울을 잃어버렸어. 비슷한 거라도 찾아야 하는데",,
,,내 힘으로는 할 수 없을것 같아서 도움을 요청 할게,,
,,내가 줄 수있는건 달그락 거리는 소리가 나는 상자와 리본 뿐이야.,,
,,도와줘.. 내 방울을 꼭 찾을 수 있게!,,
Offer,농부,"행운목 꽃은 정말 보기 힘들다는데, 우리 농장에 행운이 가득 할 수 만 있다면 좋겠구만…",,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,농부,정말이지! 이 행운목을 열심히 길러서 마을 주민들에게 하나씩 선물 해야 겠어. 자네에게 먼저 주겠네!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,농부,괜찮아요… 더 늦기전에 저는 제 농장을 다시 가꾸러 가야겠어요. 감사합니다.,,
Offer,마담,"오홍홍… 오늘의 운세를 보니 내일 행운이 올거라고, 갖고싶은 물건을 사라고 하더라구요?",,
,,그래서 목걸이를 하나 사고 싶어요… 내일 다시 올게요~,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,마담,연두빛이 아주 예쁘네요! 고마워요 총각도 오늘 행운이 가득하길 바래요~,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,마담,아쉽네요… 다음에 또 올게요~,,
Offer,마법사,초록빛은 꿈을 .. 그리고 그 힘이 깃든 구체는 반드시 행운이 올것입니다…,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,마법사,감사합니다. 시간 나시면 저의 아지트에 놀러와요. 멋진 것을 보여줄게요.,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,마법사,실패는 항상 가슴 아프지만 그만큼 우리는 많은 것을 배웠을 것입니다…,,
Offer,마법사,"초록 잎을 긴 시간동안 달이고, 다지면… 큰 힘이 생기는 약을 얻을 수 있죠…",,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,마법사,이 약을 섣불리 쓸 수는 없을 테니 먼저 실험을 해봐야 하는데… 아 사람에게는 절대 안해요!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,마법사,실패는 항상 가슴 아프지만 그만큼 우리는 많은 것을 배웠을 것입니다…,,
Offer,해적,이번에는 꽃이야. 골목 끝 부자가 아직 살아있는걸 확인 했으니 금덩이는 남아있겠지!,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,해적,진짜 금화구만! 뭔가 펀치 라인 같기도 하고… 상대 해적들을 기 죽이기에 딱이야! 고마워!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,해적,한번은 괜찮은데 두번은 안돼! 오늘은 기분이 좋으니 그만 가도록 하지…,,
Offer,농부,"넓은 밭에서 키우는 작물도 좋지만, 내 방에서 키울 작은 화분도 갖고 싶어.",,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,농부,"열매도 맺혀 있고, 소중하게 기르도록 할게!",,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,농부,괜찮아요… 더 늦기전에 저는 제 농장을 다시 가꾸러 가야겠어요. 감사합니다.,,
Offer,마트,신상이 필요해요! 모든 요리에 근본이 되는! 가정식에서 꼭 필요한! 양파.. 대파.. 같은것?,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,마트,진짜 대파네요! 다양한 요리에 알싸함과 신선한 향을 줄 수 있을 거에요.,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,마트,아고… 괜찮아요! 항상 고생해주시는데요. 다음엔 더 잘 부탁해요!,,
Offer,마법사,뭐가 들어있는지 모를수록 신비함이 커지는 법입니다… ,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,마법사,"뭐가 들어있을지 지금 한번 뽑아볼까요? 흐음… 달걀이네요! 자, 하나 가져요.",,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,마법사,실패는 항상 가슴 아프지만 그만큼 우리는 많은 것을 배웠을 것입니다…,,
Offer,블랙맨,난 크리스마스에 선물을 받아본적이 한번도 없어요. 안에 아무것도 들어있지 않아도 좋으니 선물 하나만 해줘요.,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,블랙맨,이십년치 크리스마스 선물을 봄날에 받다니! 잊을 수 없을거에요. 고마워요!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,블랙맨,실패는 익숙한걸요… 저는 괜찮으니 신경 쓰지 마세요!,,
Offer,블랙맨,제작년 부터 동네 환경을 개선 하려고 잡초도 뽑고 담배꽁초도 꼬박 1년을 주웠어요.,,
,,이정도면 마을에서 훈장 하나쯤 줄 법하지 않나요??,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,블랙맨,고마워요! 고이 잘 간직해서 제 자녀에게 자랑스럽게 얘기 해야겠어요!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,블랙맨,실패는 익숙한걸요… 저는 괜찮으니 신경 쓰지 마세요!,,
Offer,마트,"사탕인데, 무겁지 않고 실타래 처럼 가벼운 사탕이 없을까요? ",,
,,꼬마 아이가 들고 다녀도 솜사탕같이 가벼운 거요!,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,마트,이렇게까지 가벼울줄은 몰랐네요! 이름을 그러면… '깃털솜사탕' 으로 해야겠어요!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,마트,아고… 괜찮아요! 항상 고생해주시는데요. 다음엔 더 잘 부탁해요!,,
Offer,셰프,"다음주 저녁 특선 메뉴로 넙치 구이를 준비 중인데, 재료를 직접 잡고 싶어요. ",,
,,"신제품 테스트도 해야 하니, 내일까지 부탁 드릴게요!",,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,셰프,튼튼해보이는 낚시대네요! 특선메뉴가 준비되면 사장님도 꼭 초대 하도록 할게요.,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,셰프,"당장 오늘이 아니어도 괜찮을거에요, 고생 하셨습니다.",,
Offer,블랙맨,단백질이 부족한지 근육이 말랑말랑 해지고 있어요. 계란은 날로먹어도 튀겨먹어도 최고의 단백질이에요!,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,블랙맨,제가 근육을 만드는 이유는 이 마을의 안전을 위해서도 있답니다! 힘쓰는 일은 다 저한테 맡겨주세요!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,블랙맨,실패는 익숙한걸요… 저는 괜찮으니 신경 쓰지 마세요!,,
Offer,마담,혹시 치킨 팝 있나요? 롤리팝말구 치킨 팝이요. 치킨 팝은 튀긴 닭이 막대기에 꽂혀있는거에요.,,
,,퇴근 후 제 아들에게 가져다 줘야 하는데 부탁좀 드려요~,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,마담,항상 큰 대가 없이 마을 사람들을 도와줘서 너무 고마워요. 꼭 보답할게요~,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,마담,아쉽네요… 다음에 또 올게요~,,
Offer,농부,황금알을 낳는 거위는 필요 없지만 황금알을 낳는 닭은 필요할 지도 모르겠군요…,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,농부,닭이 낳은 황금알은 아니지만 농장의 생기를 주기엔 충분 할것 같아요… 감사합니다!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,농부,괜찮아요… 더 늦기전에 저는 제 농장을 다시 가꾸러 가야겠어요. 감사합니다.,,
Offer,바이커,"내가 마하의 속도로 달릴때까지 바이크를 타봤는데, 눈을 못떠요… 고글이 있다면 모르겠지만요!",,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,바이커,생각하던 것보다 제법인데요? 더 빠르게 달리러 얼른 가봐야 겠어요! 고마워요.,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,바이커,미안해 하실 필요 없습니다! 별 일 아니에요.,,
Offer,셰프,"굽기, 볶기는 자신 있지만 베이킹엔 영 소질이 없어요. 저 대신에 내일 VIP 손님을 대접할 수 있는 ",,
,,달콤하고 신선한 디저트를 만들어 줄래요?,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,셰프,딸기 쇼트케이크라니! 이 고난이도 디저트를 어떻게 해낸거죠? 고마워요.,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,셰프,"당장 오늘이 아니어도 괜찮을거에요, 고생 하셨습니다.",,
Offer,블랙맨,제가 즐기는 유일한 취미라고는 새 총으로 콜라캔을 맞추며 노는 것 뿐이에요. ,,
,,하지만 아무도 저에게 새총을 팔지 않아요… 만들어 줄 수 있나요?,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,블랙맨,"만약, 가게 근처에 벌레가 나타나면 말해요! 제가 이 새총으로 잡아드리죠.",,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,블랙맨,실패는 익숙한걸요… 저는 괜찮으니 신경 쓰지 마세요!,,
Offer,바이커,라이딩을 한참 한 뒤에 유일하게 주어지는 휴식 시간은 오랜 시간 공을 들여 만든 위스키 한잔을 할때에요…,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,바이커,"같이 한잔 하실래요? 물론, 한잔 따라드리고 저는 물러 갈거에요.",,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,바이커,미안해 하실 필요 없습니다! 별 일 아니에요.,,
Offer,셰프,"샤프란이라고, 세계에서 가장 비싼 향신료가 있는데 저는 돈이 없어서 구하지 못해요.",,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,셰프,"맙소사, 얼른 빠에야를 만들러 가봐야 겠어요. 물론 사장님께도 드릴게요! ",,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,셰프,"당장 오늘이 아니어도 괜찮을거에요, 고생 하셨습니다.",,
Offer,마담,"예전에 우리 남편이 쓴 편지가 있는데, 난 그 내용을 잊을 수 없어요. 지금은 잃어버렸지만요…",,
,,"아무리 종이에 기억을 담아 써도, 그 세월이 주는 구김은 생기지 않더라고요...",,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,마담,"어머, 정말로 우리 남편이 쓴 편지를 보는 것 같아요. 이제 다시는 잃어버리지 말아야 겠어요… 너무 고마워요",,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,마담,아쉽네요… 다음에 또 올게요~,,
Offer,바이커,"약혼자에게 정식으로 청혼을 해야 하는데, 다이아몬드는 식상하대요. 금빛이 더 좋다고 한 것 같아서… 골드몬드 그런건 없겠죠?",,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,바이커,진짜 골드몬드네요! 다이아만큼 영롱하진 않지만 묵직하고 빛나는게 청혼에 성공할 것 같아요. 고마워요!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,바이커,미안해 하실 필요 없습니다! 별 일 아니에요.,,
Offer,마담,"남편은 일하고, 아이들은 학교에 가면 난 같이 놀 사람이 없어요… 기억력은 조금 나빠도",,
,,작은 친구가 있었으면 해요…,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,마담,금붕어네요! 저와 이야기를 많이 하면 기억력이 조금이라도 좋아질까 기대를 해봐야 겠어요. 잘 키우도록 할게요 고마워요!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,마담,아쉽네요… 다음에 또 올게요~,,
Offer,셰프,이번에 대접하는 손님은 돈이 아주아주 많다고 들었어요. 그래서 이 참에 빚을 최대한 많이 갚고 싶어요.,,
,,금으로 만든 디저트를 부탁 할게요!,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,셰프,금 함유량이 족히 80%는 되어 보이네요. 빚을 다 갚으면 사장님께 맛있는 고기 한접시를 대접해드리도록 할게요! ,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,셰프,"당장 오늘이 아니어도 괜찮을거에요, 고생 하셨습니다.",,
Offer,해적,당신이 생각한것 보다 바다 위는 더 거칠다고! 하지만 우리 무기 만큼은 비싸 보여야 해… ,,
,,그래야 무시 당하지 않는다고!,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,해적,바다위를 항해 하며 만나는 보물들이 얼마나 다양한지 나중에 특별히 구경 시켜주도록 하지. 항상 고마워!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,해적,한번은 괜찮은데 두번은 안돼! 오늘은 기분이 좋으니 그만 가도록 하지…,,
Offer,마법사,"날지는 못해도, 날개를 다는 것 만으로도 달라지는 기분은 사람을 설레게 한답니다…",,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,마법사,"날개가 한쪽 밖에 없는것은 너무나도 슬프지만, 이 물건을 통해 영감을 받았어요. 더 큰 마법을 연습해야겠군요..",,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,마법사,실패는 항상 가슴 아프지만 그만큼 우리는 많은 것을 배웠을 것입니다…,,
Offer,마트,손님들이 포도가 너무 무거워서 불많이 많다고 하셨어요. 깃털같이 가벼운 과일이 있었으면 좋겠다고…,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,마트,사장님은 가벼운 무언가를 정말 잘 만들어 내시는 군요! 덕분에 이웃 주민들의 어깨가 가볍겠어요. ,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,마트,아고… 괜찮아요! 항상 고생해주시는데요. 다음엔 더 잘 부탁해요!,,
Offer,해적,우리도 달콤한것을 좋아하는건 마찬가지야. 디저트는 다른 식량에 비해 영양소와 칼로리가 높다고! ,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,해적,"제철 과일이 가득 올라간 타르트라니, 피자처럼 나눠먹기도 좋겠어.",,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,해적,한번은 괜찮은데 두번은 안돼! 오늘은 기분이 좋으니 그만 가도록 하지…,,
Offer,마트,"신상품은 이제 괜찮고, 스테디 셀러가 필요해요. 동글동글하고 커다란 막대 사탕이 어떨까요?",,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,마트,"기분이 너무 좋으니, 마트 이벤트로 사탕 판매수익의 일부를 기부 해야겠어요!",,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
,마트,아고… 괜찮아요! 항상 고생해주시는데요. 다음엔 더 잘 부탁해요!,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Success,,,,
,,,,
,,,,
Fail,,,,
,,,,
,,,,
Special,,,,
